"geoid","region_name","measure","value","year","measure_type","region_type"
"51570","Colonial Heights city, Virginia","intermediate",34,2014,"count","county"
"51590","Danville city, Virginia","intermediate",88,2014,"count","county"
"51600","Fairfax city, Virginia","intermediate",92,2014,"count","county"
"51610","Falls Church city, Virginia","intermediate",40,2014,"count","county"
"51620","Franklin city, Virginia","intermediate",9,2014,"count","county"
"51630","Fredericksburg city, Virginia","intermediate",101,2014,"count","county"
"51640","Galax city, Virginia","intermediate",4,2014,"count","county"
"51650","Hampton city, Virginia","intermediate",168,2014,"count","county"
"51660","Harrisonburg city, Virginia","intermediate",48,2014,"count","county"
"51670","Hopewell city, Virginia","intermediate",47,2014,"count","county"
"51680","Lynchburg city, Virginia","intermediate",7,2014,"count","county"
"51683","Manassas city, Virginia","intermediate",38,2014,"count","county"
"51685","Manassas Park city, Virginia","intermediate",3,2014,"count","county"
"51690","Martinsville city, Virginia","intermediate",13,2014,"count","county"
"51700","Newport News city, Virginia","intermediate",238,2014,"count","county"
"51710","Norfolk city, Virginia","intermediate",550,2014,"count","county"
"51720","Norton city, Virginia","intermediate",7,2014,"count","county"
"51730","Petersburg city, Virginia","intermediate",103,2014,"count","county"
"51735","Poquoson city, Virginia","intermediate",9,2014,"count","county"
"51740","Portsmouth city, Virginia","intermediate",180,2014,"count","county"
"51750","Radford city, Virginia","intermediate",29,2014,"count","county"
"51760","Richmond city, Virginia","intermediate",263,2014,"count","county"
"51770","Roanoke city, Virginia","intermediate",116,2014,"count","county"
"51775","Salem city, Virginia","intermediate",45,2014,"count","county"
"51790","Staunton city, Virginia","intermediate",15,2014,"count","county"
"51800","Suffolk city, Virginia","intermediate",150,2014,"count","county"
"51810","Virginia Beach city, Virginia","intermediate",681,2014,"count","county"
"51820","Waynesboro city, Virginia","intermediate",24,2014,"count","county"
"51830","Williamsburg city, Virginia","intermediate",12,2014,"count","county"
"51840","Winchester city, Virginia","intermediate",32,2014,"count","county"
"51001","Accomack County, Virginia","adequate",85,2014,"count","county"
"51003","Albemarle County, Virginia","adequate",143,2014,"count","county"
"51005","Alleghany County, Virginia","adequate",22,2014,"count","county"
"51007","Amelia County, Virginia","adequate",32,2014,"count","county"
"51009","Amherst County, Virginia","adequate",13,2014,"count","county"
"51011","Appomattox County, Virginia","adequate",12,2014,"count","county"
"51013","Arlington County, Virginia","adequate",1021,2014,"count","county"
"51015","Augusta County, Virginia","adequate",263,2014,"count","county"
"51017","Bath County, Virginia","adequate",15,2014,"count","county"
"51019","Bedford County, Virginia","adequate",27,2014,"count","county"
"51021","Bland County, Virginia","adequate",13,2014,"count","county"
"51023","Botetourt County, Virginia","adequate",54,2014,"count","county"
"51025","Brunswick County, Virginia","adequate",55,2014,"count","county"
"51027","Buchanan County, Virginia","adequate",46,2014,"count","county"
"51029","Buckingham County, Virginia","adequate",41,2014,"count","county"
"51031","Campbell County, Virginia","adequate",6,2014,"count","county"
"51033","Caroline County, Virginia","adequate",151,2014,"count","county"
"51035","Carroll County, Virginia","adequate",63,2014,"count","county"
"51036","Charles City County, Virginia","adequate",19,2014,"count","county"
"51037","Charlotte County, Virginia","adequate",44,2014,"count","county"
"51041","Chesterfield County, Virginia","adequate",785,2014,"count","county"
"51043","Clarke County, Virginia","adequate",37,2014,"count","county"
"51045","Craig County, Virginia","adequate",16,2014,"count","county"
"51047","Culpeper County, Virginia","adequate",240,2014,"count","county"
"51049","Cumberland County, Virginia","adequate",27,2014,"count","county"
"51051","Dickenson County, Virginia","adequate",22,2014,"count","county"
"51053","Dinwiddie County, Virginia","adequate",51,2014,"count","county"
"51057","Essex County, Virginia","adequate",35,2014,"count","county"
"51059","Fairfax County, Virginia","adequate",5629,2014,"count","county"
"51061","Fauquier County, Virginia","adequate",322,2014,"count","county"
"51063","Floyd County, Virginia","adequate",49,2014,"count","county"
"51065","Fluvanna County, Virginia","adequate",20,2014,"count","county"
"51067","Franklin County, Virginia","adequate",61,2014,"count","county"
"51069","Frederick County, Virginia","adequate",298,2014,"count","county"
"51071","Giles County, Virginia","adequate",60,2014,"count","county"
"51073","Gloucester County, Virginia","adequate",60,2014,"count","county"
"51075","Goochland County, Virginia","adequate",66,2014,"count","county"
"51077","Grayson County, Virginia","adequate",45,2014,"count","county"
"51079","Greene County, Virginia","adequate",18,2014,"count","county"
"51081","Greensville County, Virginia","adequate",36,2014,"count","county"
"51083","Halifax County, Virginia","adequate",118,2014,"count","county"
"51085","Hanover County, Virginia","adequate",359,2014,"count","county"
"51087","Henrico County, Virginia","adequate",1406,2014,"count","county"
"51089","Henry County, Virginia","adequate",58,2014,"count","county"
"51091","Highland County, Virginia","adequate",6,2014,"count","county"
"51093","Isle of Wight County, Virginia","adequate",116,2014,"count","county"
"51095","James City County, Virginia","adequate",276,2014,"count","county"
"51097","King and Queen County, Virginia","adequate",21,2014,"count","county"
"51099","King George County, Virginia","adequate",110,2014,"count","county"
"51101","King William County, Virginia","adequate",63,2014,"count","county"
"51103","Lancaster County, Virginia","adequate",31,2014,"count","county"
"51105","Lee County, Virginia","adequate",45,2014,"count","county"
"51107","Loudoun County, Virginia","adequate",1859,2014,"count","county"
"51109","Louisa County, Virginia","adequate",74,2014,"count","county"
"51111","Lunenburg County, Virginia","adequate",41,2014,"count","county"
"51113","Madison County, Virginia","adequate",19,2014,"count","county"
"51115","Mathews County, Virginia","adequate",11,2014,"count","county"
"51117","Mecklenburg County, Virginia","adequate",95,2014,"count","county"
"51119","Middlesex County, Virginia","adequate",19,2014,"count","county"
"51121","Montgomery County, Virginia","adequate",367,2014,"count","county"
"51125","Nelson County, Virginia","adequate",27,2014,"count","county"
"51127","New Kent County, Virginia","adequate",74,2014,"count","county"
"51131","Northampton County, Virginia","adequate",42,2014,"count","county"
"51133","Northumberland County, Virginia","adequate",31,2014,"count","county"
"51135","Nottoway County, Virginia","adequate",46,2014,"count","county"
