geoid,measure,measure_type,region_name,region_type,value,year,moe
51085320602,gini_index,index,"Census Tract 3206.02, Hanover County, Virginia",tract,0.4867,2015,0.0449
51595890200,gini_index,index,"Census Tract 8902, Emporia city, Virginia",tract,0.5393,2015,0.0676
51595890100,gini_index,index,"Census Tract 8901, Emporia city, Virginia",tract,0.5008,2015,0.0635
51550020100,gini_index,index,"Census Tract 201, Chesapeake city, Virginia",tract,0.4544,2015,0.0474
51550020300,gini_index,index,"Census Tract 203, Chesapeake city, Virginia",tract,0.4422,2015,0.0434
51550020903,gini_index,index,"Census Tract 209.03, Chesapeake city, Virginia",tract,0.4019,2015,0.0905
51550021009,gini_index,index,"Census Tract 210.09, Chesapeake city, Virginia",tract,0.3472,2015,0.0427
51550020805,gini_index,index,"Census Tract 208.05, Chesapeake city, Virginia",tract,0.3515,2015,0.0348
51550020806,gini_index,index,"Census Tract 208.06, Chesapeake city, Virginia",tract,0.3637,2015,0.046
51087200106,gini_index,index,"Census Tract 2001.06, Henrico County, Virginia",tract,0.41,2015,0.0414
51087200107,gini_index,index,"Census Tract 2001.07, Henrico County, Virginia",tract,0.5345,2015,0.0508
51087200126,gini_index,index,"Census Tract 2001.26, Henrico County, Virginia",tract,0.3126,2015,0.044
51087200303,gini_index,index,"Census Tract 2003.03, Henrico County, Virginia",tract,0.4622,2015,0.061
51087200305,gini_index,index,"Census Tract 2003.05, Henrico County, Virginia",tract,0.3864,2015,0.0417
51087200409,gini_index,index,"Census Tract 2004.09, Henrico County, Virginia",tract,0.3626,2015,0.047
51660000402,gini_index,index,"Census Tract 4.02, Harrisonburg city, Virginia",tract,0.394,2015,0.0417
51670980100,gini_index,index,"Census Tract 9801, Hopewell city, Virginia",tract,,2015,
51678930500,gini_index,index,"Census Tract 9305, Lexington city, Virginia",tract,0.5167,2015,0.0504
51683910201,gini_index,index,"Census Tract 9102.01, Manassas city, Virginia",tract,0.4739,2015,0.1099
51683910202,gini_index,index,"Census Tract 9102.02, Manassas city, Virginia",tract,0.3109,2015,0.0328
51683910301,gini_index,index,"Census Tract 9103.01, Manassas city, Virginia",tract,0.4299,2015,0.043
51683910302,gini_index,index,"Census Tract 9103.02, Manassas city, Virginia",tract,0.349,2015,0.0516
51710003200,gini_index,index,"Census Tract 32, Norfolk city, Virginia",tract,0.4165,2015,0.0569
51710003300,gini_index,index,"Census Tract 33, Norfolk city, Virginia",tract,0.4403,2015,0.0796
51710004200,gini_index,index,"Census Tract 42, Norfolk city, Virginia",tract,0.5,2015,0.1665
51710005800,gini_index,index,"Census Tract 58, Norfolk city, Virginia",tract,0.4362,2015,0.0409
51710006100,gini_index,index,"Census Tract 61, Norfolk city, Virginia",tract,0.4487,2015,0.0669
51710006607,gini_index,index,"Census Tract 66.07, Norfolk city, Virginia",tract,0.4335,2015,0.0759
51710002600,gini_index,index,"Census Tract 26, Norfolk city, Virginia",tract,0.5848,2015,0.0432
51710003600,gini_index,index,"Census Tract 36, Norfolk city, Virginia",tract,0.4314,2015,0.0503
51710004001,gini_index,index,"Census Tract 40.01, Norfolk city, Virginia",tract,0.3855,2015,0.05
51710004002,gini_index,index,"Census Tract 40.02, Norfolk city, Virginia",tract,0.5246,2015,0.0475
51710004100,gini_index,index,"Census Tract 41, Norfolk city, Virginia",tract,0.4506,2015,0.0646
51051040300,gini_index,index,"Census Tract 403, Dickenson County, Virginia",tract,0.4477,2015,0.034
51049930100,gini_index,index,"Census Tract 9301, Cumberland County, Virginia",tract,0.4312,2015,0.0379
51049930200,gini_index,index,"Census Tract 9302, Cumberland County, Virginia",tract,0.4349,2015,0.0631
51051040400,gini_index,index,"Census Tract 404, Dickenson County, Virginia",tract,0.4593,2015,0.0844
51053980100,gini_index,index,"Census Tract 9801, Dinwiddie County, Virginia",tract,,2015,
51059415401,gini_index,index,"Census Tract 4154.01, Fairfax County, Virginia",tract,0.4096,2015,0.057
51059420201,gini_index,index,"Census Tract 4202.01, Fairfax County, Virginia",tract,0.3542,2015,0.0409
51059415402,gini_index,index,"Census Tract 4154.02, Fairfax County, Virginia",tract,0.4624,2015,0.0498
51059420202,gini_index,index,"Census Tract 4202.02, Fairfax County, Virginia",tract,0.2927,2015,0.0364
51059420501,gini_index,index,"Census Tract 4205.01, Fairfax County, Virginia",tract,0.3924,2015,0.0539
51059420203,gini_index,index,"Census Tract 4202.03, Fairfax County, Virginia",tract,0.3353,2015,0.038
51059420503,gini_index,index,"Census Tract 4205.03, Fairfax County, Virginia",tract,0.3673,2015,0.044
51059421001,gini_index,index,"Census Tract 4210.01, Fairfax County, Virginia",tract,0.3394,2015,0.0231
51059421101,gini_index,index,"Census Tract 4211.01, Fairfax County, Virginia",tract,0.2888,2015,0.0445
51059420502,gini_index,index,"Census Tract 4205.02, Fairfax County, Virginia",tract,0.3593,2015,0.0569
51059421002,gini_index,index,"Census Tract 4210.02, Fairfax County, Virginia",tract,0.3769,2015,0.0411
51059421103,gini_index,index,"Census Tract 4211.03, Fairfax County, Virginia",tract,0.3031,2015,0.0391
51059421701,gini_index,index,"Census Tract 4217.01, Fairfax County, Virginia",tract,0.3497,2015,0.0357
51059421702,gini_index,index,"Census Tract 4217.02, Fairfax County, Virginia",tract,0.3067,2015,0.0402
51059422101,gini_index,index,"Census Tract 4221.01, Fairfax County, Virginia",tract,0.3706,2015,0.0415
51059422102,gini_index,index,"Census Tract 4221.02, Fairfax County, Virginia",tract,0.3477,2015,0.0403
51059422201,gini_index,index,"Census Tract 4222.01, Fairfax County, Virginia",tract,0.337,2015,0.0265
51059422202,gini_index,index,"Census Tract 4222.02, Fairfax County, Virginia",tract,0.3423,2015,0.0374
