"","fips","TractID","geography","county","state","total_population_2020","percent_food_insecure_2020","number_food_insecure_2020","unemployment_rate","percent_poor","percent_black","percent_hispanic","median_income","percent_homeowners","percent_disabled"
"138",51059,51059460503,"Census Tract 4605.03, Fairfax County, Virginia","Fairfax County, Virginia","VA",3231,0.063,200,0.049,0.072,0.028,0.117,146741,0.517,0.017
"139",51059,51059460504,"Census Tract 4605.04, Fairfax County, Virginia","Fairfax County, Virginia","VA",4207,0.033,140,0.064,0.02,0.197,0.063,186943,0.767,0.066
"140",51059,51059460600,"Census Tract 4606, Fairfax County, Virginia","Fairfax County, Virginia","VA",4002,0.001,10,0.008,0.013,0.007,0.062,217321,0.888,0.057
"141",51059,51059460701,"Census Tract 4607.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",3273,0.023,80,0.018,0.027,0.039,0.223,130978,0.762,0.085
"142",51059,51059460702,"Census Tract 4607.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",4786,0.033,160,0.059,0.038,0.027,0.069,202083,0.907,0.056
"143",51059,51059460800,"Census Tract 4608, Fairfax County, Virginia","Fairfax County, Virginia","VA",3464,0.027,90,0.037,0.039,0.061,0.043,144917,0.926,0.061
"144",51059,51059460900,"Census Tract 4609, Fairfax County, Virginia","Fairfax County, Virginia","VA",2538,0.024,60,0.019,0.058,0,0.078,185536,0.915,0.064
"145",51059,51059461000,"Census Tract 4610, Fairfax County, Virginia","Fairfax County, Virginia","VA",2471,0.002,10,0.017,0.01,0.123,0.095,173750,0.839,0.048
"146",51059,51059461100,"Census Tract 4611, Fairfax County, Virginia","Fairfax County, Virginia","VA",6817,0.029,200,0.04,0.036,0.028,0.067,172925,0.887,0.062
"147",51059,51059461201,"Census Tract 4612.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",4283,0,0,0.01,0.004,0.025,0.038,249177,0.989,0.056
"148",51059,51059461202,"Census Tract 4612.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",6534,0.042,270,0.026,0.038,0.11,0.049,130318,0.622,0.062
"149",51059,51059461500,"Census Tract 4615, Fairfax County, Virginia","Fairfax County, Virginia","VA",6894,0.027,190,0.043,0.023,0.049,0.06,187517,0.807,0.051
"150",51059,51059461603,"Census Tract 4616.03, Fairfax County, Virginia","Fairfax County, Virginia","VA",5408,0.04,220,0.019,0.042,0.137,0.137,111373,0.504,0.044
"151",51059,51059461604,"Census Tract 4616.04, Fairfax County, Virginia","Fairfax County, Virginia","VA",2423,0.067,160,0.03,0.146,0.112,0.038,150703,0.835,0.076
"152",51059,51059461605,"Census Tract 4616.05, Fairfax County, Virginia","Fairfax County, Virginia","VA",3392,NA,NA,0.059,0.013,0.113,0.04,127726,0.197,0.025
"153",51059,51059461606,"Census Tract 4616.06, Fairfax County, Virginia","Fairfax County, Virginia","VA",2608,0.04,100,0.003,0.051,0.06,0.213,99904,0.38,0.014
"154",51059,51059461700,"Census Tract 4617, Fairfax County, Virginia","Fairfax County, Virginia","VA",6749,0.063,420,0.015,0.095,0.043,0.105,126103,0.527,0.056
"155",51059,51059461801,"Census Tract 4618.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",1811,0.052,90,0.033,0.072,0.095,0.245,102347,0.573,0.056
"156",51059,51059461802,"Census Tract 4618.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",5560,0.05,280,0.031,0.046,0.026,0.158,104071,0.577,0.052
"157",51059,51059461901,"Census Tract 4619.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",3562,0.077,270,0.042,0.095,0.159,0.136,77813,0.51,0.074
"158",51059,51059461902,"Census Tract 4619.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",1872,0.13,240,0.067,0.176,0.13,0.591,54625,0.011,0.066
